Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
74,64,3,1,0,0,2,187,652,53.0,51.0,878.0,910.0,1.67,2.18,1
45,132,2,1,1,2,1,679,163,10.0,24.0,3085.0,1430.0,1.85,1.97,0
41,21,3,1,2,1,1,49,540,19.0,80.0,2360.0,914.0,1.26,3.82,1
7,4,0,1,2,1,1,490,568,88.0,42.0,608.0,1130.0,2.16,1.69,0
63,127,2,1,2,0,3,240,307,82.0,13.0,910.0,3128.0,6.15,1.13,0
45,132,2,1,1,0,3,53,68,85.0,20.0,660.0,1665.0,5.15,1.17,0
91,103,3,1,2,6,2,10,696,6.0,27.0,4355.0,1534.0,1.41,2.94,0
63,127,2,1,2,0,3,7,396,53.0,101.0,936.0,582.0,1.84,1.98,1
23,131,3,1,2,0,2,47,250,107.0,13.0,558.0,2610.0,6.25,1.12,0
41,21,3,1,2,0,1,153,511,44.0,75.0,1420.0,946.0,2.19,1.68,0
56,79,3,1,2,2,1,493,414,62.0,60.0,870.0,891.0,2.39,1.56,0
10,119,1,0,2,1,2,286,49,46.0,21.0,1003.0,1935.0,3.67,1.27,0
81,108,3,1,2,2,2,640,235,47.0,31.0,980.0,1410.0,2.42,1.57,0
57,83,3,1,0,2,1,320,696,58.0,3.0,814.0,5770.0,3.71,1.27,0
53,17,2,1,2,1,4,640,175,15.0,91.0,2145.0,620.0,1.12,6.17,1
48,85,3,1,0,3,1,222,595,4.0,15.0,5115.0,2815.0,2.18,1.7,0
95,42,1,0,2,0,2,677,448,9.0,74.0,3250.0,728.0,1.1,6.7,1
74,64,3,1,0,1,2,250,648,13.0,27.0,2570.0,1470.0,1.46,2.64,1
48,85,3,1,0,1,1,719,337,38.0,13.0,1155.0,2685.0,2.19,1.68,1
53,17,2,1,2,0,4,684,58,27.0,62.0,1420.0,771.0,1.39,2.97,1
57,83,3,1,0,4,1,496,540,2.0,35.0,8725.0,1205.0,1.02,15.87,1
60,69,0,0,2,0,1,164,640,53.0,117.0,1137.0,669.0,1.52,2.53,0
31,43,0,1,0,1,1,49,276,28.0,80.0,1395.0,691.0,1.63,2.26,0
21,28,0,1,2,0,1,59,766,114.0,69.0,492.0,790.0,2.01,1.81,1
1,5,1,1,2,0,1,696,599,12.0,39.0,3080.0,1080.0,1.4,2.9,1
5,44,0,0,2,1,1,662,406,58.0,70.0,910.0,770.0,1.58,2.39,1
27,37,0,1,2,1,1,357,324,151.0,99.0,451.0,699.0,2.38,1.57,1
56,113,3,1,2,0,2,322,140,82.0,84.0,607.0,603.0,2.66,1.45,0
68,47,2,1,0,0,3,216,708,93.0,102.0,648.0,618.0,2.65,1.49,1
53,17,2,1,2,0,3,514,422,98.0,36.0,752.0,1561.0,2.19,1.68,0
51,55,0,1,0,1,1,421,145,122.0,98.0,482.0,609.0,1.78,1.99,1
18,14,0,1,0,1,1,141,29,76.0,30.0,722.0,1375.0,2.36,1.57,0
6,18,0,1,2,1,2,489,276,22.0,134.0,1885.0,413.0,1.22,4.26,1
