p1_rank,p2_rank,p1_winrate,p2_winrate,surface,target
46.0,43.0,0.6923076923076923,0.8181818181818182,3,1
43.0,46.0,0.8181818181818182,0.6923076923076923,3,0
41.0,61.0,0.5555555555555556,0.42857142857142855,3,1
61.0,41.0,0.42857142857142855,0.5555555555555556,3,0
29.0,42.0,0.5555555555555556,0.6363636363636364,3,1
42.0,29.0,0.6363636363636364,0.5555555555555556,3,0
56.0,24.0,0.6666666666666666,0.25,3,1
24.0,56.0,0.25,0.6666666666666666,3,0
29.0,41.0,0.5555555555555556,0.5555555555555556,3,1
41.0,29.0,0.5555555555555556,0.5555555555555556,3,0
56.0,46.0,0.6666666666666666,0.6923076923076923,3,1
46.0,56.0,0.6923076923076923,0.6666666666666666,3,0
29.0,56.0,0.5555555555555556,0.6666666666666666,3,1
56.0,29.0,0.6666666666666666,0.5555555555555556,3,0
3.0,64.0,0.6666666666666666,0.42857142857142855,1,1
64.0,3.0,0.42857142857142855,0.6666666666666666,1,0
74.0,68.0,0.5,0.5,1,1
68.0,74.0,0.5,0.5,1,0
66.0,33.0,0.0,0.5,1,1
33.0,66.0,0.5,0.0,1,0
55.0,76.0,0.3333333333333333,0.25,1,1
76.0,55.0,0.25,0.3333333333333333,1,0
23.0,91.0,0.75,0.4,1,1
91.0,23.0,0.4,0.75,1,0
28.0,44.0,0.25,0.6666666666666666,1,1
44.0,28.0,0.6666666666666666,0.25,1,0
50.0,67.0,0.2,0.375,1,1
67.0,50.0,0.375,0.2,1,0
63.0,62.0,0.0,0.4,1,1
62.0,63.0,0.4,0.0,1,0
38.0,71.0,0.5,0.5,1,1
71.0,38.0,0.5,0.5,1,0
3.0,55.0,0.6666666666666666,0.3333333333333333,1,1
55.0,3.0,0.3333333333333333,0.6666666666666666,1,0
23.0,93.0,0.75,0.6666666666666666,1,1
93.0,23.0,0.6666666666666666,0.75,1,0
28.0,50.0,0.25,0.2,1,1
50.0,28.0,0.2,0.25,1,0
63.0,38.0,0.0,0.5,1,1
38.0,63.0,0.5,0.0,1,0
66.0,77.0,0.0,0.5,1,1
77.0,66.0,0.5,0.0,1,0
9.0,136.0,0.8888888888888888,0.3333333333333333,1,1
136.0,9.0,0.3333333333333333,0.8888888888888888,1,0
3.0,23.0,0.6666666666666666,0.75,1,1
23.0,3.0,0.75,0.6666666666666666,1,0
28.0,63.0,0.25,0.0,1,1
63.0,28.0,0.0,0.25,1,0
74.0,88.0,0.5,0.5,1,1
88.0,74.0,0.5,0.5,1,0
9.0,66.0,0.8888888888888888,0.0,1,1
66.0,9.0,0.0,0.8888888888888888,1,0
28.0,3.0,0.25,0.6666666666666666,1,1
3.0,28.0,0.6666666666666666,0.25,1,0
9.0,74.0,0.8888888888888888,0.5,1,1
74.0,9.0,0.5,0.8888888888888888,1,0
9.0,28.0,0.8888888888888888,0.25,1,1
28.0,9.0,0.25,0.8888888888888888,1,0
1.0,63.0,0.9,0.5555555555555556,3,1
63.0,1.0,0.5555555555555556,0.9,3,0
84.0,72.0,0.2857142857142857,0.2857142857142857,3,1
72.0,84.0,0.2857142857142857,0.2857142857142857,3,0
3.0,35.0,0.8,0.6666666666666666,3,1
35.0,3.0,0.6666666666666666,0.8,3,0
17.0,47.0,0.5454545454545454,0.42857142857142855,3,1
47.0,17.0,0.42857142857142855,0.5454545454545454,3,0
27.0,36.0,0.8,0.6875,3,1
36.0,27.0,0.6875,0.8,3,0
31.0,26.0,0.6,0.7142857142857143,3,1
26.0,31.0,0.7142857142857143,0.6,3,0
2.0,55.0,0.8571428571428571,0.4,3,1
55.0,2.0,0.4,0.8571428571428571,3,0
13.0,108.0,0.6666666666666666,0.3333333333333333,3,1
108.0,13.0,0.3333333333333333,0.6666666666666666,3,0
8.0,34.0,0.8125,0.5454545454545454,3,1
34.0,8.0,0.5454545454545454,0.8125,3,0
52.0,112.0,0.5833333333333334,0.5,3,1
112.0,52.0,0.5,0.5833333333333334,3,0
53.0,30.0,0.5384615384615384,0.2,3,1
30.0,53.0,0.2,0.5384615384615384,3,0
65.0,14.0,0.25,0.0,3,1
14.0,65.0,0.0,0.25,3,0
62.0,21.0,0.7142857142857143,0.4444444444444444,3,1
21.0,62.0,0.4444444444444444,0.7142857142857143,3,0
1.0,107.0,0.9,0.0,3,1
107.0,1.0,0.0,0.9,3,0
8.0,52.0,0.8125,0.5833333333333334,3,1
52.0,8.0,0.5833333333333334,0.8125,3,0
53.0,65.0,0.5384615384615384,0.25,3,1
65.0,53.0,0.25,0.5384615384615384,3,0
84.0,62.0,0.2857142857142857,0.7142857142857143,3,1
62.0,84.0,0.7142857142857143,0.2857142857142857,3,0
3.0,50.0,0.8,0.5,3,1
50.0,3.0,0.5,0.8,3,0
27.0,17.0,0.8,0.5454545454545454,3,1
17.0,27.0,0.5454545454545454,0.8,3,0
2.0,31.0,0.8571428571428571,0.6,3,1
31.0,2.0,0.6,0.8571428571428571,3,0
8.0,53.0,0.8125,0.5384615384615384,3,1
53.0,8.0,0.5384615384615384,0.8125,3,0
84.0,3.0,0.2857142857142857,0.8,3,1
3.0,84.0,0.8,0.2857142857142857,3,0
2.0,27.0,0.8571428571428571,0.8,3,1
27.0,2.0,0.8,0.8571428571428571,3,0
1.0,8.0,0.9,0.8125,3,1
8.0,1.0,0.8125,0.9,3,0
2.0,84.0,0.8571428571428571,0.2857142857142857,3,1
84.0,2.0,0.2857142857142857,0.8571428571428571,3,0
2.0,1.0,0.8571428571428571,0.9,3,1
1.0,2.0,0.9,0.8571428571428571,3,0
89.0,67.0,0.3333333333333333,0.2857142857142857,1,1
67.0,89.0,0.2857142857142857,0.3333333333333333,1,0
66.0,71.0,0.3333333333333333,0.375,1,1
71.0,66.0,0.375,0.3333333333333333,1,0
59.0,54.0,0.3333333333333333,0.375,1,1
54.0,59.0,0.375,0.3333333333333333,1,0
74.0,64.0,0.2,0.3333333333333333,1,1
64.0,74.0,0.3333333333333333,0.2,1,0
85.0,46.0,0.25,0.6,1,1
46.0,85.0,0.6,0.25,1,0
60.0,94.0,0.2857142857142857,0.0,1,1
94.0,60.0,0.0,0.2857142857142857,1,0
59.0,66.0,0.3333333333333333,0.3333333333333333,1,1
66.0,59.0,0.3333333333333333,0.3333333333333333,1,0
74.0,22.0,0.2,0.5555555555555556,1,1
22.0,74.0,0.5555555555555556,0.2,1,0
85.0,128.0,0.25,0.3333333333333333,1,1
128.0,85.0,0.3333333333333333,0.25,1,0
60.0,29.0,0.2857142857142857,0.5,1,1
29.0,60.0,0.5,0.2857142857142857,1,0
89.0,68.0,0.3333333333333333,0.42857142857142855,1,1
68.0,89.0,0.42857142857142855,0.3333333333333333,1,0
4.0,59.0,0.7,0.3333333333333333,1,1
59.0,4.0,0.3333333333333333,0.7,1,0
74.0,85.0,0.2,0.25,1,1
85.0,74.0,0.25,0.2,1,0
60.0,24.0,0.2857142857142857,0.7272727272727273,1,1
24.0,60.0,0.7272727272727273,0.2857142857142857,1,0
89.0,18.0,0.3333333333333333,0.25,1,1
18.0,89.0,0.25,0.3333333333333333,1,0
4.0,74.0,0.7,0.2,1,1
74.0,4.0,0.2,0.7,1,0
60.0,89.0,0.2857142857142857,0.3333333333333333,1,1
89.0,60.0,0.3333333333333333,0.2857142857142857,1,0
4.0,60.0,0.7,0.2857142857142857,1,1
60.0,4.0,0.2857142857142857,0.7,1,0
5.0,92.0,0.8333333333333334,0.375,3,1
92.0,5.0,0.375,0.8333333333333334,3,0
78.0,138.0,0.4444444444444444,0.42857142857142855,3,1
138.0,78.0,0.42857142857142855,0.4444444444444444,3,0
10.0,101.0,0.6666666666666666,0.0,3,1
101.0,10.0,0.0,0.6666666666666666,3,0
41.0,97.0,0.3333333333333333,0.25,3,1
97.0,41.0,0.25,0.3333333333333333,3,0
42.0,38.0,0.7058823529411765,0.6153846153846154,3,1
38.0,42.0,0.6153846153846154,0.7058823529411765,3,0
80.0,51.0,0.2857142857142857,0.5,3,1
51.0,80.0,0.5,0.2857142857142857,3,0
9.0,132.0,0.9285714285714286,0.25,3,1
132.0,9.0,0.25,0.9285714285714286,3,0
61.0,48.0,0.5,0.8333333333333334,3,1
48.0,61.0,0.8333333333333334,0.5,3,0
57.0,102.0,0.6,0.0,3,1
102.0,57.0,0.0,0.6,3,0
33.0,69.0,0.42857142857142855,0.5,3,1
69.0,33.0,0.5,0.42857142857142855,3,0
15.0,95.0,0.6428571428571429,0.375,3,1
95.0,15.0,0.375,0.6428571428571429,3,0
44.0,96.0,0.6428571428571429,0.5,3,1
96.0,44.0,0.5,0.6428571428571429,3,0
32.0,142.0,0.4444444444444444,0.5,3,1
142.0,32.0,0.5,0.4444444444444444,3,0
23.0,79.0,0.7142857142857143,0.0,3,1
79.0,23.0,0.0,0.7142857142857143,3,0
5.0,61.0,0.8333333333333334,0.5,3,1
61.0,5.0,0.5,0.8333333333333334,3,0
33.0,57.0,0.42857142857142855,0.6,3,1
57.0,33.0,0.6,0.42857142857142855,3,0
15.0,44.0,0.6428571428571429,0.6428571428571429,3,1
44.0,15.0,0.6428571428571429,0.6428571428571429,3,0
43.0,32.0,0.7692307692307693,0.4444444444444444,3,1
32.0,43.0,0.4444444444444444,0.7692307692307693,3,0
23.0,78.0,0.7142857142857143,0.4444444444444444,3,1
78.0,23.0,0.4444444444444444,0.7142857142857143,3,0
42.0,41.0,0.7058823529411765,0.3333333333333333,3,1
41.0,42.0,0.3333333333333333,0.7058823529411765,3,0
9.0,80.0,0.9285714285714286,0.2857142857142857,3,1
80.0,9.0,0.2857142857142857,0.9285714285714286,3,0
5.0,33.0,0.8333333333333334,0.42857142857142855,3,1
33.0,5.0,0.42857142857142855,0.8333333333333334,3,0
15.0,43.0,0.6428571428571429,0.7692307692307693,3,1
43.0,15.0,0.7692307692307693,0.6428571428571429,3,0
9.0,42.0,0.9285714285714286,0.7058823529411765,3,1
42.0,9.0,0.7058823529411765,0.9285714285714286,3,0
5.0,15.0,0.8333333333333334,0.6428571428571429,3,1
15.0,5.0,0.6428571428571429,0.8333333333333334,3,0
9.0,5.0,0.9285714285714286,0.8333333333333334,3,1
5.0,9.0,0.8333333333333334,0.9285714285714286,3,0
14.0,74.0,0.7333333333333333,0.375,3,1
74.0,14.0,0.375,0.7333333333333333,3,0
19.0,28.0,0.6923076923076923,0.2857142857142857,3,1
28.0,19.0,0.2857142857142857,0.6923076923076923,3,0
28.0,14.0,0.2857142857142857,0.7333333333333333,3,1
14.0,28.0,0.7333333333333333,0.2857142857142857,3,0
5.0,47.0,0.7692307692307693,0.6666666666666666,3,1
47.0,5.0,0.6666666666666666,0.7692307692307693,3,0
111.0,20.0,0.25,0.5,3,1
20.0,111.0,0.5,0.25,3,0
5.0,20.0,0.7692307692307693,0.5,3,1
20.0,5.0,0.5,0.7692307692307693,3,0
47.0,111.0,0.6666666666666666,0.25,3,1
111.0,47.0,0.25,0.6666666666666666,3,0
133.0,31.0,0.375,0.16666666666666666,3,1
31.0,133.0,0.16666666666666666,0.375,3,0
38.0,45.0,0.7,0.5454545454545454,3,1
45.0,38.0,0.5454545454545454,0.7,3,0
38.0,31.0,0.7,0.16666666666666666,3,1
31.0,38.0,0.16666666666666666,0.7,3,0
58.0,49.0,0.5,0.5714285714285714,3,1
49.0,58.0,0.5714285714285714,0.5,3,0
35.0,91.0,0.6470588235294118,0.2,3,1
91.0,35.0,0.2,0.6470588235294118,3,0
58.0,35.0,0.5,0.6470588235294118,3,1
35.0,58.0,0.6470588235294118,0.5,3,0
75.0,67.0,0.5454545454545454,0.4444444444444444,1,1
67.0,75.0,0.4444444444444444,0.5454545454545454,1,0
29.0,87.0,0.5,0.3333333333333333,1,1
87.0,29.0,0.3333333333333333,0.5,1,0
29.0,75.0,0.5,0.5454545454545454,1,1
75.0,29.0,0.5454545454545454,0.5,1,0
83.0,87.0,0.4444444444444444,0.3333333333333333,1,1
87.0,83.0,0.3333333333333333,0.4444444444444444,1,0
41.0,61.0,0.75,0.45454545454545453,3,1
61.0,41.0,0.45454545454545453,0.75,3,0
6.0,85.0,0.7142857142857143,0.25,3,1
85.0,6.0,0.25,0.7142857142857143,3,0
4.0,62.0,0.8235294117647058,0.5,3,1
62.0,4.0,0.5,0.8235294117647058,3,0
4.0,6.0,0.8235294117647058,0.7142857142857143,3,1
6.0,4.0,0.7142857142857143,0.8235294117647058,3,0
62.0,86.0,0.5,0.4,3,1
86.0,62.0,0.4,0.5,3,0
90.0,23.0,0.3333333333333333,0.6923076923076923,1,1
23.0,90.0,0.6923076923076923,0.3333333333333333,1,0
23.0,32.0,0.6923076923076923,0.45454545454545453,1,1
32.0,23.0,0.45454545454545453,0.6923076923076923,1,0
189.0,84.0,0.25,0.25,3,1
84.0,189.0,0.25,0.25,3,0
55.0,189.0,0.5833333333333334,0.25,3,1
189.0,55.0,0.25,0.5833333333333334,3,0
168.0,108.0,0.3333333333333333,0.5,3,1
108.0,168.0,0.5,0.3333333333333333,3,0
51.0,76.0,0.6363636363636364,0.5714285714285714,3,1
76.0,51.0,0.5714285714285714,0.6363636363636364,3,0
61.0,45.0,0.6666666666666666,0.5,3,1
45.0,61.0,0.5,0.6666666666666666,3,0
83.0,40.0,0.5,0.375,3,1
40.0,83.0,0.375,0.5,3,0
94.0,69.0,0.3333333333333333,0.4166666666666667,3,1
69.0,94.0,0.4166666666666667,0.3333333333333333,3,0
145.0,74.0,0.3333333333333333,0.3333333333333333,3,1
